Date/Time,InteriorEquipment:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Pumps:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),ExteriorLights:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly) 
 01/01  01:00:00,492977197.9,0,283491428.1,1596468716,100986660.9,240177617.3,1596468716,165059882.6,0,1596468716,578745129.1,1708840517,1536334665,9252760.477,0
 01/01  02:00:00,492977197.9,0,283130524.4,1515902826,100448667.4,240177617.3,1515902826,165059882.6,187349.0845,1515902826,497481041.6,1539134017,1366628165,10195738.51,187349.0845
 01/01  03:00:00,492977197.9,0,282661684.1,1549900962,100811503,240177617.3,1549900962,165059882.6,0,1549900962,531892559.3,1764086679,1591580827,9581079.73,0
 01/01  04:00:00,492977197.9,0,282377293.3,1563204313,100968020.7,240177617.3,1563204313,165059882.6,187361.8742,1563204313,545104378.4,1856006310,1683500458,9342806.244,187361.8742
 01/01  05:00:00,492977197.9,0,282110873.5,1564501801,100867181.5,240177617.3,1564501801,165059882.6,187345.3431,1564501801,544540301.4,1820472077,1642860500,9554927.16,187345.3431
 01/01  06:00:00,492977197.9,0,281988440.4,1549985511,100798665.6,240177617.3,1549985511,165059882.6,0,1549985511,530276110.4,1802864204,1623794186,9672177.095,0
 01/01  07:00:00,492977197.9,0,281825317.2,1545211419,100710488.1,240177617.3,1545211419,165059882.6,187358.1456,1545211419,525582711.9,1764685655,1592179803,9865702.364,187358.1456
 01/01  08:00:00,492977197.9,0,305737805.6,1543290480,100603041.6,240152463,1543290480,141501482.6,0,1543290480,548250843.5,1724712341,1552206489,9972910.664,0
 01/01  09:00:00,709830969.8,0,322100431.9,1999610425,100407874.1,347477284.3,1999610425,235886165.3,187356.275,1999610425,585814896.1,1679437004,1296123435,9946179.009,187356.275
 01/01  10:00:00,709830969.8,0,325849865.3,2027377768,100292756.8,347414505.5,2027377768,235886165.3,187354.4198,2027377768,613704977.4,1640678639,1251892783,9971224.577,187354.4198
 01/01  11:00:00,709830969.8,0,328990930.7,2057544003,100094439,347414505.5,2057544003,235886165.3,0,2057544003,644041421.9,1544867970,1153063746,10190391.21,0
 01/01  12:00:00,709830969.8,0,333786820.1,2103643112,99910160.24,347381908.6,2103643112,235886165.3,187337.8845,2103643112,687041256,1448176484,1059289701,10511323.46,187337.8845
 01/01  13:00:00,709830969.8,0,339309095.3,2115235411,99653676.83,347248905.7,2115235411,235886165.3,0,2115235411,701543995.9,1299451856,916192946.8,11004112.74,0
 01/01  14:00:00,709830969.8,0,340125012.4,2112837388,99433044.71,347146084.6,2112837388,235886165.3,187350.7122,2112837388,698835230.9,1171498652,788206638.9,11440457.21,187350.7122
 01/01  15:00:00,709830969.8,0,338989740.2,2114240169,99363424.65,347113487.6,2114240169,235886165.3,187363.4964,2114240169,700200643.3,1134998429,751535513.9,11574269.85,187363.4964
 01/01  16:00:00,709830969.8,0,332993800.1,2091885973,99481117.56,347113487.6,2091885973,235886165.3,0,2091885973,678143084.6,1073601837,835530643,11341772.82,0
 01/01  17:00:00,492977197.9,0,313117522.3,1625369731,99808052.88,240064632.1,1625369731,129722282.6,187361.621,1625369731,642094480.1,1416964416,1244458564,10655025.27,187361.621
 01/01  18:00:00,492977197.9,0,310155053.4,1674003107,100235990.4,240177617.3,1674003107,165059882.6,0,1674003107,655609569.3,1653580483,1481074631,10140857.08,0
 01/01  19:00:00,492977197.9,0,309274158.1,1682466455,100564014.7,240177617.3,1682466455,165059882.6,187359.7578,1682466455,664121941.8,1807129738,1634623886,9598990.882,187359.7578
 01/01  20:00:00,492977197.9,0,308653721.1,1687112423,100735106.2,240177617.3,1687112423,165059882.6,187343.2224,1687112423,667105152.7,1856764131,1684258279,9348713.738,187343.2224
 01/01  21:00:00,492977197.9,0,308130106.6,1702378735,101136144.3,240177617.3,1702378735,165059882.6,0,1702378735,682895559,2030395139,1846216863,8736256.199,0
 01/01  22:00:00,492977197.9,0,307639321.6,1712799484,101534412,240177617.3,1712799484,165059882.6,187356.0321,1712799484,694156010.3,2140462119,1967956267,8151046.741,187356.0321
 01/01  23:00:00,492977197.9,0,307188100.5,1716740089,101939299.4,240177617.3,1716740089,165059882.6,187339.4893,1716740089,699495377.6,2247028520,2074522668,7626067.704,187339.4893
 01/01  24:00:00,492977197.9,0,306709714.4,1734191071,102345288,240177617.3,1734191071,165059882.6,0,1734191071,714428633.7,2332167559,2159661707,7120562.294,0
 01/02  01:00:00,552246851.9,0,288138237.1,1779421533,102116610,259340046.8,1779421533,165059882.6,187352.3116,1779421533,683826140.2,2225484785,1999002275,7197816.536,187352.3116
 01/02  02:00:00,552246851.9,0,288291714.1,1774958470,102019843.8,259340046.8,1774958470,165059882.6,0,1774958470,679481537.6,2186595204,1948440302,7341542.308,0
 01/02  03:00:00,552246851.9,0,288229636.9,1780025536,102205393.6,259340046.8,1780025536,165059882.6,187307.1609,1780025536,684408900.9,2243862899,2017380390,7106780.694,187307.1609
 01/02  04:00:00,552246851.9,0,288079426.5,1795378560,102657180.9,259340046.8,1795378560,165059882.6,187348.589,1795378560,699904997.7,2392882353,2166399844,6515917.118,187348.589
 01/02  05:00:00,552246851.9,0,287954612.5,1804967676,102879962.5,259340046.8,1804967676,165059882.6,0,1804967676,707970777.1,2424774044,2198291534,6256044.318,0
 01/02  06:00:00,552246851.9,0,287788086.8,1805183798,102587732.5,259340046.8,1805183798,165059882.6,187361.3804,1805183798,707967323.7,2291595658,2065113149,6698961.415,187361.3804
 01/02  07:00:00,552246851.9,0,287719723,1819522222,102545136.9,259340046.8,1819522222,165059882.6,0,1819522222,722850244.2,2305605110,2067450240,6768224.597,0
 01/02  08:00:00,966431990.9,0,335291528.8,2636971484,102260052.9,412387939.7,2636971484,318416106.6,187359.5073,2636971484,818835033.3,2223120124,1834707642,7085387.927,187359.5073
 01/02  09:00:00,1242555417,0,370375239.7,3433956915,101256818.7,740331529.6,3433956915,443049039.9,187357.6533,3433956915,884725228.9,2178516534,1429517281,8947278.457,187357.6533
 01/02  10:00:00,1242555417,0,375059851.5,3590947823,100761373.2,739427875.7,3590947823,589715413.2,0,3590947823,895161869.4,2146301212,1238170239,10316565.1,0
 01/02  11:00:00,1242555417,0,372337948.4,3601098234,100689800.6,738276122.2,3601098234,589715413.2,187341.1252,3601098234,905830284.6,2207253240,1221818186,10789057.6,187341.1252
 01/02  12:00:00,1242555417,0,372208974.1,3594502210,100532250.7,737644104.7,3594502210,589715413.2,0,3594502210,896876878.5,2183967315,1161237335,11240988.81,0
 01/02  13:00:00,1242555417,0,373203206.2,3441269099,100301288.3,737057359.9,3441269099,443049039.9,187353.942,3441269099,893250791.3,2027297778,1063800098,11746461.24,187353.942
 01/02  14:00:00,1242555417,0,373914243.4,3590669703,100090209.2,737057359.9,3590669703,589715413.2,187337.395,3590669703,895653881.5,1978902489,971507156.6,12258381.16,187337.395
 01/02  15:00:00,1242555417,0,374320378.2,3583938980,100008869.1,737057359.9,3583938980,589715413.2,0,3583938980,888850660.4,1932265574,940993132,12572692.51,0
 01/02  16:00:00,1242555417,0,374173635,3583098400,100025969.1,739587274,3583098400,589715413.2,187350.2244,3583098400,885086005.3,1784597378,958714325.8,12739442.82,187350.2244
 01/02  17:00:00,828370277.9,0,354795353.5,2734864247,100702349.5,335974671.6,2734864247,601494613.2,0,2734864247,845321035.6,1895320797,1301417199,11925959.88,0
 01/02  18:00:00,828370277.9,0,348483904.4,2758667285,100868324.7,335989764.6,2758667285,636832213.2,187363.0076,2758667285,834163487,1901833697,1384168437,11268071.23,187363.0076
 01/02  19:00:00,828370277.9,447918.1508,342838545.8,2421998141,100684899.8,335989764.6,2421998141,353768814.9,187361.13,2421998141,781196444.8,1746975215,1308092379,10829161.51,187361.13
 01/02  20:00:00,828370277.9,0,341567674.1,2428601412,101102070.1,335989764.6,2428601412,353768814.9,0,2428601412,786397880.5,1908803822,1517952511,10250163.31,0
 01/02  21:00:00,828370277.9,0,340445945.9,2428674483,101167669.9,335989764.6,2428674483,353768814.9,187359.2726,2428674483,786439781.3,1964091897,1539666707,10147027.73,187359.2726
 01/02  22:00:00,828370277.9,0,340077557.1,2263231315,100996607.9,335989764.6,2263231315,212237115.7,187342.7363,2263231315,763248218.8,1826169109,1458867880,10441241.02,187342.7363
 01/02  23:00:00,828370277.9,0,338794602,2192700499,100525141.5,335989764.6,2192700499,165059882.6,0,2192700499,741605263.2,1747132854,1396805282,10655959.99,0
 01/02  24:00:00,552246851.9,0,322237224.9,1787809040,100787055,259340046.8,1787809040,165059882.6,187355.5465,1787809040,687482514.2,1766818174,1540335665,10116638.39,187355.5465
 01/03  01:00:00,552246851.9,0,297340283.3,1733937221,100608603.4,259340046.8,1733937221,165059882.6,0,1733937221,636851553.8,1693221761,1466739252,10125982.4,0
 01/03  02:00:00,552246851.9,0,296082531.8,1706911525,100324069.6,259340046.8,1706911525,165059882.6,187339.0027,1706911525,609455215.1,1587415173,1349260408,10592751,187339.0027
 01/03  03:00:00,552246851.9,0,295100767.9,1685394889,100137426.7,259340046.8,1685394889,165059882.6,187351.8267,1685394889,587789432.6,1509126394,1282643884,10920851.37,187351.8267
 01/03  04:00:00,552246851.9,0,294349445.6,1669375898,100099479.9,259340046.8,1669375898,165059882.6,0,1669375898,571958561.5,1516359528,1289877018,10953260.55,0
 01/03  05:00:00,552246851.9,0,293633748,1672078995,100125534.7,259340046.8,1672078995,165059882.6,187300.5496,1672078995,565676542.6,1551107714,1324625204,10872282.45,187300.5496
 01/03  06:00:00,552246851.9,0,293084405.7,1669102047,100139530.2,259340046.8,1669102047,165059882.6,0,1669102047,564607456.4,1573344395,1346861886,10781797.34,0
 01/03  07:00:00,552246851.9,0,292596768.9,1655933264,100154583.1,259340046.8,1655933264,165059882.6,187348.0975,1655933264,554450420.2,1603523583,1365368850,10707583.47,187348.0975
 01/03  08:00:00,966431990.9,0,339371912.7,2426513372,99939678.53,412639482.4,2426513372,318416106.6,187360.8879,2426513372,605514739.1,1454255953,1065843471,11751974.49,187360.8879
 01/03  09:00:00,1242555417,0,367757835,3188835742,99507824.11,742343582.8,3188835742,443049039.9,0,3188835742,627952665,1676732139,805689218,20275482.41,0
 01/03  10:00:00,1242555417,0,371280135.6,3309333762,99408671.27,740309837,3309333762,589715413.2,187359.0111,3309333762,601363451.1,1670571759,745556758.8,22534480.7,187359.0111
 01/03  11:00:00,1242555417,0,372635920.9,3303439276,99292786.42,739179776,3303439276,589715413.2,0,3303439276,596900046.3,1653574079,672699162.9,22491700.29,0
 01/03  12:00:00,1242555417,0,373729794,3295591193,99217931.35,738411940.4,3295591193,589715413.2,187357.1552,3295591193,587298261.1,1637872853,625955719,22052220.42,187357.1552
 01/03  13:00:00,1242555417,0,374586878.3,3121826541,99129177.15,737734650.1,3121826541,443049039.9,187340.6146,3121826541,564121208.6,1537062892,568677622.1,21680649.59,187340.6146
 01/03  14:00:00,1242555417,0,375812084,3245820223,98993768.57,737057359.9,3245820223,589715413.2,0,3245820223,542516154.1,1486469080,478235779.8,21576499.86,0
 01/03  15:00:00,1242555417,0,376115170.9,3203774157,98856575.4,737396005,3203774157,589715413.2,187353.4331,3203774157,500057485,1382515776,383532622.8,21561080.41,187353.4331
 01/03  16:00:00,1242555417,0,375826814.2,3187274428,98870962.59,740717335,3187274428,589715413.2,187336.8852,3187274428,480585987.9,1213854654,396223957.5,21160615.56,187336.8852
 01/03  17:00:00,828370277.9,0,357635894.8,2344878575,99229412.86,335989764.6,2344878575,601494613.2,0,2344878575,448579812.2,1250487577,648553520.6,19844265.69,0
 01/03  18:00:00,828370277.9,0,350704977.8,2408644913,99421959.36,335989764.6,2408644913,636832213.2,187349.7135,2408644913,477768680.5,1300234977,778486048.4,18796377.52,187349.7135
 01/03  19:00:00,828370277.9,1863860.605,344640888.6,2159773154,99328023.92,335989764.6,2159773154,353768814.9,0,2159773154,512534098.3,1135268602,718772379.5,18546607.74,0
 01/03  20:00:00,828370277.9,0,343350022.8,2208417975,99456896.58,335989764.6,2208417975,353768814.9,187362.4952,2208417975,561200210.8,1222458293,809569809.8,18250730.63,187362.4952
 01/03  21:00:00,828370277.9,0,341850354.6,2273435148,99700505.3,335989764.6,2273435148,353768814.9,187345.9654,2273435148,631759378.3,1386219814,973459614.1,12515954,187345.9654
 01/03  22:00:00,828370277.9,0,341053051.9,2164570587,99825329.42,335989764.6,2164570587,212237115.7,0,2164570587,666861761.2,1422848428,1051581443,10660802.03,0
 01/03  23:00:00,828370277.9,0,339882573.3,2143426010,99530389.49,335989764.6,2143426010,165059882.6,187358.7657,2143426010,692981935.5,1398493352,1064057527,10705491.48,187358.7657
 01/03  24:00:00,552246851.9,0,323019529.4,1810267285,99997902.88,259340046.8,1810267285,165059882.6,0,1810267285,710955693.9,1570079968,1343597459,10048229.89,0
 01/04  01:00:00,552246851.9,0,297821864.1,1814532630,100258726.8,259340046.8,1814532630,165059882.6,187342.2272,1814532630,718197665.4,1702487147,1476004637,9523990.212,187342.2272
 01/04  02:00:00,552246851.9,0,296871107.9,1816683077,100441732.1,259340046.8,1816683077,165059882.6,187355.0402,1816683077,720524017.7,1778167392,1551684882,9203366.311,187355.0402
 01/04  03:00:00,552246851.9,0,295756168.7,1840366821,100663508,259340046.8,1840366821,165059882.6,0,1840366821,744501865.4,1877503689,1639349134,8893964.421,0
 01/04  04:00:00,552246851.9,0,294683706.5,1876525129,101048820,259340046.8,1876525129,165059882.6,187338.4955,1876525129,780563707.6,2024389622,1797907112,8436709.563,187338.4955
 01/04  05:00:00,552246851.9,0,293907580.6,1892129669,101375515.4,259340046.8,1892129669,165059882.6,0,1892129669,794678984.3,2125550027,1899067517,8045249.121,0
 01/04  06:00:00,552246851.9,0,293347179.4,1896588872,101751299.8,259340046.8,1896588872,165059882.6,187351.3211,1896588872,799187468,2234092615,2007610105,7559893.716,187351.3211
 01/04  07:00:00,552246851.9,0,292756975.6,1897816039,101967104,259340046.8,1897816039,165059882.6,187317.2387,1897816039,800853239.9,2255736092,2029253582,7298582.56,187317.2387
 01/04  08:00:00,966431990.9,0,340017627.7,2713577927,101779840.3,412413094.7,2713577927,318416106.6,0,2713577927,895154647.1,2194466787,1768819240,7870488.325,0
 01/04  09:00:00,1242555417,0,370316458.5,3522995418,101105807.2,739947611.7,3522995418,443049039.9,187362.2327,3522995418,974044464.2,2310118088,1454665277,9072205.636,187362.2327
 01/04  10:00:00,1242555417,0,376336940.5,3700191762,100816871.9,738614767.3,3700191762,589715413.2,0,3700191762,1005508151,2265125286,1320517030,9853020.662,0
 01/04  11:00:00,1242555417,0,379709385.9,3709776225,100550166,738321394.9,3709776225,589715413.2,187360.3693,3709776225,1014981276,2170106261,1191612289,10297319.39,187360.3693
 01/04  12:00:00,1242555417,0,384688504.4,3727806640,100408081.7,738230849.5,3727806640,589715413.2,187343.8469,3727806640,1030072028,2125800049,1122915172,10580898.17,187343.8469
 01/04  13:00:00,1242555417,0,389656135.2,3595607026,100233347.4,737350732.3,3595607026,443049039.9,0,3595607026,1048248959,2014333928,1038420715,10945273.16,0
 01/04  14:00:00,1242555417,0,392025285.9,3746402981,100118944.9,737057359.9,3746402981,589715413.2,187356.6545,3746402981,1052274944,1977116726,983670918,11246381.69,187356.6545
 01/04  15:00:00,1242555417,0,391669401.8,3743345532,100098018.9,737057359.9,3743345532,589715413.2,187340.1129,3743345532,1049043340,1972949135,972686917.4,11422166.75,187340.1129
 01/04  16:00:00,1242555417,0,386850288.8,3728332318,100116014.5,737057359.9,3728332318,589715413.2,0,3728332318,1033764086,1799561859,981147605.2,11842519.55,0
 01/04  17:00:00,828370277.9,0,361303863.8,2866659561,101307964.7,335326946.4,2866659561,601494613.2,187352.9304,2866659561,978491881.4,2146939219,1528085215,10335064.33,187352.9304
 01/04  18:00:00,828370277.9,0,352696246.7,2911179088,101984357.8,335989764.6,2911179088,636832213.2,0,2911179088,987632640.3,2297065672,1775139327,9324402.796,0
 01/04  19:00:00,828370277.9,60962.95594,346357329.9,2561141078,101762603.2,335989764.6,2561141078,353768814.9,187359.8634,2561141078,921160735.8,2077806509,1662253156,8880351.599,187359.8634
 01/04  20:00:00,828370277.9,0,344850405.1,2562273798,102143245.2,335989764.6,2562273798,353768814.9,187349.2185,2562273798,920566647.9,2225082166,1812279700,8481560.857,187349.2185
 01/04  21:00:00,828370277.9,0,343023623.8,2565802971,102498386.9,335989764.6,2565802971,353768814.9,0,2565802971,924421813.1,2340488288,1927694991,8111325.956,0
 01/04  22:00:00,828370277.9,0,341946550.9,2424784437,102852088,335989764.6,2424784437,212237115.7,187362.0078,2424784437,925592223.8,2396086637,2024803438,7757931.605,187362.0078
 01/04  23:00:00,828370277.9,0,340529784.4,2372695570,102793786.2,335989764.6,2372695570,165059882.6,0,2372695570,922542132.4,2412401045,2077965221,7415747.395,0
 01/04  24:00:00,552246851.9,0,323412480.2,1972391919,103414299.1,259340046.8,1972391919,165059882.6,187318.6763,1972391919,872897797.8,2477462791,2250980282,6634533.93,187318.6763
 01/05  01:00:00,552246851.9,0,296593235.2,1938857831,103524548.4,259340046.8,1938857831,165059882.6,187358.2848,1938857831,842600604.9,2470770480,2244287971,6214354.911,187358.2848
 01/05  02:00:00,552246851.9,0,293030479.3,1939877560,103714038.2,259340046.8,1939877560,165059882.6,0,1939877560,844081594.1,2522215937,2295733427,5776061.196,0
 01/05  03:00:00,552246851.9,0,291295439.8,1936014238,103823624.3,259340046.8,1936014238,165059882.6,187341.7465,1936014238,840205617.2,2562738741,2324584017,5511030.462,187341.7465
 01/05  04:00:00,552246851.9,0,290084027.5,1930512695,103971134.6,259340046.8,1930512695,165059882.6,0,1930512695,835082427.8,2595559485,2369076976,5188584.665,0
 01/05  05:00:00,552246851.9,0,288692362.6,1931561307,104223765.5,259340046.8,1931561307,165059882.6,187354.5612,1931561307,834429970.7,2673522806,2447040297,4706676.817,187354.5612
 01/05  06:00:00,552246851.9,0,287921661.7,1929917608,104329530,259340046.8,1929917608,165059882.6,187338.0155,1929917608,833057648.9,2703883019,2477400509,4456615.792,187338.0155
 01/05  07:00:00,552246851.9,0,287465431.4,1825690589,6370216.622,259340046.8,1825690589,165059882.6,0,1825690589,831826788.9,2730905734,2504423224,0,0
 01/05  08:00:00,966431990.9,0,336680189.5,2725613721,96132562.7,412387939.7,2725613721,318416106.6,187342.9517,2725613721,915658692.3,2740805443,2340720779,4905258.992,187342.9517
 01/05  09:00:00,1242555417,0,371937179,3537390629,102991967.1,739947611.7,3537390629,443049039.9,7914.90766,3537390629,988714850.1,2762144605,1878614852,7103648.495,7914.90766
 01/05  10:00:00,1242555417,0,377456706.7,3696967797,102154908.8,739089230.6,3696967797,589715413.2,179440.2024,3696967797,1001521501,2561461589,1619227778,8634752.918,179440.2024
 01/05  11:00:00,1242555417,0,379786739.6,3687077296,101313585.3,738230849.5,3687077296,589715413.2,187347.1238,3687077296,992155296.2,2322825717,1341331929,9762167.861,187347.1238
 01/05  12:00:00,1242555417,0,388328733.1,3706372577,100696447.3,738230849.5,3706372577,589715413.2,0,3706372577,1008495279,2132911147,1130189600,10621232.88,0
 01/05  13:00:00,1242555417,0,392048348.1,3572843139,100512646.4,737644104.7,3572843139,443049039.9,187359.9156,3572843139,1024674933,2057749030,1081429831,10999540.22,187359.9156
 01/05  14:00:00,1242555417,0,392041493.7,3721885016,100380934.3,737057359.9,3721885016,589715413.2,187343.3805,3721885016,1027410641,2034654077,1041853917,11335501.65,187343.3805
 01/05  15:00:00,1242555417,0,391948211,3727514126,100283352.4,737057359.9,3727514126,589715413.2,0,3727514126,1033013151,1998552411,1010014514,11629236.07,0
 01/05  16:00:00,1242555417,0,387623771.7,3718941944,100294940.6,737057359.9,3718941944,589715413.2,187356.1896,3718941944,1023720055,1842929181,1023790766,12136557.34,187356.1896
 01/05  17:00:00,828370277.9,0,361563462.9,2848645950,101525727.9,335342037.3,2848645950,601494613.2,0,2848645950,960376603.1,2189265832,1568740056,10397039.09,0
 01/05  18:00:00,828370277.9,0,353266109,2881735505,102370825.6,335989764.6,2881735505,636832213.2,187354.3154,2881735505,957790502.5,2408008488,1874494560,9152941.658,187354.3154
 01/05  19:00:00,828370277.9,132371.0134,346930360,2530593341,102026299.7,335989764.6,2530593341,353768814.9,187352.4568,2530593341,890523037.2,2127756671,1712881152,8709560.63,187352.4568
 01/05  20:00:00,828370277.9,0,345349831.1,2522332966,102194342,335989764.6,2522332966,353768814.9,0,2522332966,880667296.3,2198822064,1786011532,8578452.047,0
 01/05  21:00:00,828370277.9,0,343578557.7,2522069494,102292105.8,335989764.6,2522069494,353768814.9,187314.1719,2522069494,880324144.9,2236524001,1823674886,8494893.841,187314.1719
 01/05  22:00:00,828370277.9,0,342539041.9,2379837208,102520604.8,335989764.6,2379837208,212237115.7,0,2379837208,880677859.7,2265396704,1905846792,8243841.261,0
 01/05  23:00:00,828370277.9,0,341169517.6,2330666744,102348990.5,335989764.6,2330666744,165059882.6,187348.7506,2330666744,880188260.6,2289966993,1943858854,7997508.866,187348.7506
 01/05  24:00:00,552246851.9,0,324272810.6,1933765887,103014844,259340046.8,1933765887,165059882.6,187361.5399,1933765887,834207030.7,2387859272,2161376763,7099614.906,187361.5399
 01/06  01:00:00,552246851.9,0,295954945,1901769520,103632993.6,259340046.8,1901769520,165059882.6,0,1901769520,805853640.1,2540690015,2314207505,5950302.655,0
 01/06  02:00:00,552246851.9,904720.9799,290544359.7,1878604568,79742632.61,259340046.8,1878604568,165059882.6,187345.0081,1878604568,808755524.5,2687866161,2461383651,3612167.532,187345.0081
 01/06  03:00:00,552246851.9,3671702.652,289194041.6,1853482082,55471635.34,259340046.8,1853482082,165059882.6,0,1853482082,809526498.7,2734416006,2507933497,2198295.409,0
 01/06  04:00:00,552246851.9,5785148.519,288395261.3,1852664801,55587048.75,259340046.8,1852664801,165059882.6,187357.8117,1852664801,808411818.3,2772525320,2534370528,2209426.164,187357.8117
 01/06  05:00:00,552246851.9,7075539.935,287693183.3,1887344600,80204618.4,259340046.8,1887344600,165059882.6,187341.2725,1887344600,808529821.2,2792064170,2565581661,3302119.475,187341.2725
 01/06  06:00:00,552246851.9,15690926.96,286742826.6,1923606981,105054683.3,259340046.8,1923606981,165059882.6,0,1923606981,820718796.5,2904453082,2677970573,4395550.932,0
 01/06  07:00:00,552246851.9,18679855.68,286247270.7,1826619818,7284156.74,259340046.8,1826619818,165059882.6,187354.0887,1826619818,828842716.3,2993867519,2767385009,0,187354.0887
 01/06  08:00:00,966431990.9,12930114.78,329350117.7,2615706249,7047120.658,412362784.7,2615706249,318416106.6,187337.5394,2615706249,899769802.6,2954281904,2565869422,0,187337.5394
 01/06  09:00:00,1242555417,1462763.376,372188493.2,3489277334,103381489.3,740331529.6,3489277334,443049039.9,0,3489277334,940248774.2,2854314741,1961868230,6692480.493,0
 01/06  10:00:00,1242555417,0,378542154.8,3609644293,101688365.6,739766520.8,3609644293,589715413.2,187314.9124,3609644293,913244840.4,2366648052,1421783662,9365559.12,187314.9124
 01/06  11:00:00,1242555417,0,386095517,3617895747,100422418.2,739766520.8,3617895747,589715413.2,0,3617895747,921087922.6,1970030649,981861006.1,11180879.99,0
 01/06  12:00:00,1242555417,0,391769653.1,3647558865,99844735.43,739766520.8,3647558865,589715413.2,187363.1497,3647558865,947148148.7,1764950993,766481525.9,12280594.11,187363.1497
 01/06  13:00:00,1242555417,0,391656381.8,3510798294,99500555,738411940.4,3510798294,443049039.9,187346.6211,3510798294,960786649.9,1594747961,627266678.9,13078948.58,187346.6211
 01/06  14:00:00,1242555417,0,392680990,3676211149,99310911.47,737644104.7,3676211149,589715413.2,0,3676211149,980091937.6,1546630171,548005248.7,13641484.1,0
 01/06  15:00:00,1242555417,0,395151190.1,3690741370,99189173.41,737057359.9,3690741370,589715413.2,187359.4193,3690741370,994625653.8,1489644443,494411620.8,14139992.33,187359.4193
 01/06  16:00:00,1242555417,0,394724262.2,3701315686,99339031.41,737057359.9,3701315686,589715413.2,0,3701315686,1004938996,1404447418,586729344,14424523.26,0
 01/06  17:00:00,828370277.9,0,365216859.6,2819019925,100248696.2,335153694.9,2819019925,601494613.2,187362.4269,2819019925,929981778.6,1697564795,1070658718,12435145.74,187362.4269
 01/06  18:00:00,828370277.9,0,353859247.2,2828162842,100958618.8,335989764.6,2828162842,636832213.2,187355.6851,2828162842,903601014,1933215999,1412221120,11173552.94,187355.6851
 01/06  19:00:00,828370277.9,268881.4183,347555806.2,2471851928,100893698.4,335989764.6,2471851928,353768814.9,0,2471851928,831280278.3,1794262442,1379457938,10521520.61,0
 01/06  20:00:00,828370277.9,0,346020319.4,2451397096,101203801.5,335989764.6,2451397096,353768814.9,187339.1498,2451397096,810734371.1,1942357101,1526303634,10126742,187339.1498
 01/06  21:00:00,828370277.9,0,344065527,2449991190,101501431.1,335989764.6,2449991190,353768814.9,0,2449991190,809622843.1,2065880668,1649799133,9731784.084,0
 01/06  22:00:00,828370277.9,0,342996856.6,2309290785,101641506.3,335989764.6,2309290785,212237115.7,187351.9733,2309290785,810801702.1,2056027279,1691369227,9526176.403,187351.9733
 01/06  23:00:00,828370277.9,0,341497888.7,2261032743,101366609.3,335989764.6,2261032743,165059882.6,187300.2121,2261032743,810101807.5,2030297519,1695861695,9427146.875,187300.2121
 01/06  24:00:00,552246851.9,0,324526732.1,1873412493,101899486.7,259340046.8,1873412493,165059882.6,0,1873412493,773646303.4,2130324916,1903842406,8611693.88,0
 01/07  01:00:00,552246851.9,0,299047542.5,1840414700,101944788.2,259340046.8,1840414700,165059882.6,187348.2449,1840414700,743696925.7,2116704902,1890222392,8247481.182,187348.2449
 01/07  02:00:00,552246851.9,0,297639853.2,1827537548,101934134.2,259340046.8,1827537548,165059882.6,0,1827537548,731113337.3,2115521984,1877367035,8175942.987,0
 01/07  03:00:00,552246851.9,0,296523743.6,1829619779,102305179,259340046.8,1829619779,165059882.6,187361.0375,1829619779,733193620.7,2240730719,2014248210,7637594.623,187361.0375
 01/07  04:00:00,552246851.9,0,295477075.9,1821475799,102252466.1,259340046.8,1821475799,165059882.6,187344.5047,1821475799,725091539,2190460368,1963977858,7664995.548,187344.5047
 01/07  05:00:00,552246851.9,0,294666729.4,1812832765,102107693.8,259340046.8,1812832765,165059882.6,0,1812832765,714905569.1,2142439105,1915956595,7795452.235,0
 01/07  06:00:00,552246851.9,0,294062400.7,1810445100,102131052.1,259340046.8,1810445100,165059882.6,187357.31,1810445100,712526452.7,2160979284,1934496775,7700866.628,187357.31
 01/07  07:00:00,552246851.9,0,293472176.8,1808661235,102161412.4,259340046.8,1808661235,165059882.6,187340.7698,1808661235,711203560.2,2189061684,1950906768,7600975.926,187340.7698
 01/07  08:00:00,690308564.9,0,324147493.5,2098597835,101758577.7,297664905.7,2098597835,259444565.3,0,2098597835,730596024.7,1952811184,1672352017,8412092.99,0
 01/07  09:00:00,897401134.4,0,343194373.4,2556309528,100896687.2,506612243.8,2556309528,271269090.1,187353.5866,2556309528,758903449.3,1888522391,1343645883,9852845.266,187353.5866
 01/07  10:00:00,897401134.4,0,350268657.4,2717372543,100482945.1,505637515.8,2717372543,412800789.2,0,2717372543,778585117.2,1819716285,1188086822,11213544.28,0
 01/07  11:00:00,897401134.4,0,352329450.4,2695341467,100370855.6,504975113.7,2695341467,412800789.2,187337.0355,2695341467,756947879.9,1807780361,1167132948,11373587.35,187337.0355
