Wyoming Hospital
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/29/2001,  06:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  07:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  08:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  09:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  10:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  11:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  12:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  13:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  14:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  15:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  16:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  17:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  18:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  19:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  20:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  21:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  22:00:00,      360.06,        0.00,        3.00,        0.00
09/29/2001,  23:00:00,      360.06,        0.00,        3.00,        0.00
09/30/2001,  00:00:00,      360.06,        0.00,        3.00,        0.00
09/30/2001,  01:00:00,      358.45,        0.00,        3.00,        0.00
09/30/2001,  02:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  03:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  04:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  05:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  06:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  07:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  08:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  09:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  10:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  11:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  12:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  13:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  14:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  15:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  16:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  17:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  18:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  19:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  20:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  21:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  22:00:00,      357.91,        0.00,        3.00,        0.00
09/30/2001,  23:00:00,      357.91,        0.00,        3.00,        0.00
10/01/2001,  00:00:00,      357.91,        0.00,        3.00,        0.00
