Porter Center Rd.
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
06/28/2004,  05:00:00,        1.48,        1.90,        3.00,        3.00
06/28/2004,  06:00:00,        1.40,        1.60,        3.00,        3.00
06/28/2004,  07:00:00,        1.35,        1.90,        3.00,        3.00
06/28/2004,  08:00:00,        1.50,        2.00,        3.00,        3.00
06/28/2004,  09:00:00,        1.43,        2.50,        3.00,        3.00
06/28/2004,  10:00:00,        1.38,        1.80,        3.00,        3.00
06/28/2004,  11:00:00,        1.53,        1.60,        3.00,        3.00
06/28/2004,  12:00:00,        1.47,        1.80,        3.00,        3.00
06/28/2004,  13:00:00,        1.38,        2.80,        3.00,        3.00
06/28/2004,  14:00:00,        1.47,        2.10,        3.00,        3.00
06/28/2004,  15:00:00,        1.57,        2.00,        3.00,        3.00
06/28/2004,  16:00:00,        1.40,        1.70,        3.00,        3.00
06/28/2004,  17:00:00,        1.57,        2.00,        3.00,        3.00
06/28/2004,  18:00:00,        1.30,        1.80,        3.00,        3.00
06/28/2004,  19:00:00,        1.38,        1.80,        3.00,        3.00
06/28/2004,  20:00:00,        1.25,        1.60,        3.00,        3.00
06/28/2004,  21:00:00,        1.48,        1.70,        3.00,        3.00
06/28/2004,  22:00:00,        1.57,        2.00,        3.00,        3.00
06/28/2004,  23:00:00,        1.35,        1.70,        3.00,        3.00
06/29/2004,  00:00:00,        1.20,        1.40,        3.00,        3.00
06/29/2004,  01:00:00,        1.40,        2.00,        3.00,        3.00
06/29/2004,  02:00:00,        1.22,        1.60,        3.00,        3.00
06/29/2004,  03:00:00,        1.38,        1.90,        3.00,        3.00
06/29/2004,  04:00:00,        1.43,        2.00,        3.00,        3.00
06/29/2004,  05:00:00,        1.35,        1.60,        3.00,        3.00
06/29/2004,  06:00:00,        1.38,        1.60,        3.00,        3.00
06/29/2004,  07:00:00,        1.37,        1.90,        3.00,        3.00
06/29/2004,  08:00:00,        1.48,        1.90,        3.00,        3.00
06/29/2004,  09:00:00,        1.55,        2.50,        3.00,        3.00
06/29/2004,  10:00:00,        1.40,        1.60,        3.00,        3.00
06/29/2004,  11:00:00,        1.45,        1.70,        3.00,        3.00
06/29/2004,  12:00:00,        1.43,        2.20,        3.00,        3.00
06/29/2004,  13:00:00,        1.45,        1.70,        3.00,        3.00
06/29/2004,  14:00:00,        1.43,        1.70,        3.00,        3.00
06/29/2004,  15:00:00,        1.40,        1.80,        3.00,        3.00
06/29/2004,  16:00:00,        1.55,        1.60,        3.00,        3.00
06/29/2004,  17:00:00,        1.28,        1.90,        3.00,        3.00
06/29/2004,  18:00:00,        1.35,        1.70,        3.00,        3.00
06/29/2004,  19:00:00,        1.25,        1.60,        3.00,        3.00
06/29/2004,  20:00:00,        1.40,        1.90,        3.00,        3.00
06/29/2004,  21:00:00,        1.43,        1.70,        3.00,        3.00
06/29/2004,  22:00:00,        1.62,        1.90,        3.00,        3.00
06/29/2004,  23:00:00,        1.38,        3.10,        3.00,        3.00
06/30/2004,  00:00:00,        1.37,        1.80,        3.00,        3.00
06/30/2004,  01:00:00,        1.47,        1.90,        3.00,        3.00
06/30/2004,  02:00:00,        1.20,        1.30,        3.00,        3.00
06/30/2004,  03:00:00,        1.60,        2.20,        3.00,        3.00
06/30/2004,  04:00:00,        1.57,        3.60,        3.00,        3.00
06/30/2004,  05:00:00,        1.40,        2.10,        3.00,        3.00
06/30/2004,  06:00:00,        1.70,        2.40,        3.00,        3.00
06/30/2004,  07:00:00,        1.05,        2.00,        3.00,        3.00
06/30/2004,  08:00:00,        1.47,        1.80,        3.00,        3.00
06/30/2004,  09:00:00,        1.55,        1.80,        3.00,        3.00
06/30/2004,  10:00:00,        1.25,        1.80,        3.00,        3.00
06/30/2004,  11:00:00,        1.45,        1.90,        3.00,        3.00
06/30/2004,  12:00:00,        1.53,        2.00,        3.00,        3.00
06/30/2004,  13:00:00,        1.52,        1.90,        3.00,        3.00
06/30/2004,  14:00:00,        1.00,        1.50,        3.00,        3.00
06/30/2004,  15:00:00,        1.38,        2.00,        3.00,        3.00
06/30/2004,  16:00:00,        1.45,        1.90,        3.00,        3.00
06/30/2004,  17:00:00,        1.27,        1.60,        3.00,        3.00
06/30/2004,  18:00:00,        1.60,        2.00,        3.00,        3.00
06/30/2004,  19:00:00,        1.38,        1.70,        3.00,        3.00
06/30/2004,  20:00:00,        0.93,        1.70,        3.00,        3.00
06/30/2004,  21:00:00,        1.75,        2.20,        3.00,        3.00
06/30/2004,  22:00:00,        1.32,        1.70,        3.00,        3.00
06/30/2004,  23:00:00,        1.45,        1.60,        3.00,        3.00
07/01/2004,  00:00:00,        1.38,        1.80,        3.00,        3.00
07/01/2004,  01:00:00,        1.48,        1.80,        3.00,        3.00
07/01/2004,  02:00:00,        1.40,        2.80,        3.00,        3.00
07/01/2004,  03:00:00,        1.40,        1.40,        3.00,        3.00
07/01/2004,  04:00:00,        1.05,        1.70,        3.00,        3.00
07/01/2004,  05:00:00,        1.38,        1.80,        3.00,        3.00
07/01/2004,  06:00:00,        1.28,        1.80,        3.00,        3.00
07/01/2004,  07:00:00,        1.45,        1.90,        3.00,        3.00
07/01/2004,  08:00:00,        1.30,        1.60,        3.00,        3.00
